video_id,face_present,num_faces,face_size_ratios,width,height,resolution,aspect_ratio,brightness,contrast,saturation,hue,estimated_gamma,sharpness
8dmz6PwFZ9A.jpg,1,1,[0.0117],1280,720,921600,1.78,84.8,64.52,86.48,75.63,74.54,653.01
BQ2r5soiGok.jpg,1,1,[0.0118],1280,720,921600,1.78,62.4,45.46,59.43,62.76,54.56,51.28
A0ZaKQdxnHY.jpg,1,1,[0.0172],1280,720,921600,1.78,68.26,46.31,153.34,150.47,49.31,61.81
FQ4J7h3FkCQ.jpg,1,1,[0.0118],1280,720,921600,1.78,87.02,63.88,66.92,74.95,78.13,438.72
O4dP38Mn5e0.jpg,0,0,[0],480,360,172800,1.33,132.72,89.7,54.65,15.69,118.45,683.19
z5mgvFqr0qo.jpg,0,0,[0],1280,720,921600,1.78,142.39,70.69,54.58,74.76,131.22,158.39
4Es0eJ1o4ZY.jpg,0,0,[0],1280,720,921600,1.78,199.18,67.85,154.79,165.96,134.79,77.22
6iOEv-uEn-8.jpg,1,2,"[0.0352, 0.0352]",1280,720,921600,1.78,92.76,63.45,74.92,23.33,78.02,185.64
Lf6ECaSoGZ4.jpg,0,0,[0],1280,720,921600,1.78,107.07,89.83,0.0,0.0,107.07,1417.25
MpKA6OFK0Ac.jpg,0,0,[0],1280,720,921600,1.78,210.44,49.61,86.96,158.93,170.79,187.52
H75pcqkuBRA.jpg,0,0,[0],1280,720,921600,1.78,131.37,73.77,65.55,68.66,119.08,224.38
7KZuJJf89J0.jpg,1,1,[0.0172],1280,720,921600,1.78,100.75,41.26,66.58,46.25,84.66,118.65
Kmv6_27JkbY.jpg,1,1,[0.0246],1280,720,921600,1.78,131.5,58.97,120.02,25.31,102.96,314.34
Wuuz3TapHe0.jpg,1,1,[0.1046],1280,720,921600,1.78,104.63,47.45,62.21,25.58,90.79,15.83
EFfNWxwddkk.jpg,0,0,[0],1280,720,921600,1.78,76.38,63.96,75.21,75.89,64.71,133.82
Po6jBmcXAKk.jpg,1,2,"[0.0728, 0.2168]",1280,720,921600,1.78,95.83,56.0,121.19,17.23,71.01,215.07
Lqb5MNP_HZg.jpg,0,0,[0],1280,720,921600,1.78,93.13,55.36,83.7,50.77,76.96,481.46
NP-efSVCySc.jpg,0,0,[0],1280,720,921600,1.78,223.7,68.08,84.91,107.55,182.95,406.0
GYS51snmbfk.jpg,0,0,[0],1280,720,921600,1.78,46.62,53.27,58.21,83.68,44.03,66.97
DUAjCKCxkJ0.jpg,0,0,[0],1280,720,921600,1.78,63.16,48.64,40.35,54.15,59.09,199.0
396n6UYgG30.jpg,0,0,[0],1280,720,921600,1.78,68.54,52.38,48.13,64.33,63.62,161.61
mpkzYkEBVkA.jpg,1,1,[0.0728],1280,720,921600,1.78,126.57,61.53,83.96,38.3,107.52,34.64
VAJVz7H3J3U.jpg,0,0,[0],1280,720,921600,1.78,193.26,66.99,132.34,80.84,152.61,350.87
mqz-eMvDaqU.jpg,1,1,[0.0058],1280,720,921600,1.78,92.56,55.23,94.08,107.17,76.27,374.6
k7n-5FgisWY.jpg,0,0,[0],1280,720,921600,1.78,89.38,47.93,111.55,128.32,67.6,55.67
FsiRT70n0jM.jpg,0,0,[0],1280,720,921600,1.78,62.3,55.18,50.93,93.31,56.91,251.92
VXA-DtcdsAQ.jpg,1,1,[0.012],1280,720,921600,1.78,172.32,68.78,74.94,137.05,153.15,80.61
rY4PAn5BG8I.jpg,0,0,[0],1280,720,921600,1.78,219.5,61.77,96.03,109.92,168.75,302.32
3wAMKUExgP0.jpg,0,0,[0],1280,720,921600,1.78,165.77,47.49,36.63,34.66,155.91,388.96
hZPLhpsEr8s.jpg,1,1,[0.012],1280,720,921600,1.78,94.64,60.29,71.9,120.68,80.17,137.57
Gmrb6tOh_RI.jpg,1,1,[0.0728],1280,720,921600,1.78,36.87,40.14,62.67,41.98,30.38,39.43
daNrVkbQAZI.jpg,0,0,[0],1280,720,921600,1.78,252.74,20.12,3.54,16.66,251.34,138.7
-NehJ5ApZ1Y.jpg,0,0,[0],1280,720,921600,1.78,1.64,15.14,0.0,0.0,1.64,99.84
Gx2iyuz0A38.jpg,0,0,[0],1280,720,921600,1.78,83.95,48.66,111.38,87.71,66.51,47.16
vgJeS5uB004.jpg,0,0,[0],1280,720,921600,1.78,94.48,52.26,125.23,128.31,68.43,47.43
rEHjcktf7qE.jpg,0,0,[0],1280,720,921600,1.78,85.13,59.88,73.36,85.85,74.53,205.15
vOOOkqvqfFY.jpg,1,1,[0.1049],1280,720,921600,1.78,61.14,54.77,37.75,41.53,51.11,116.15
KMvhoehZIzE.jpg,0,0,[0],1280,720,921600,1.78,29.08,30.85,102.93,33.25,23.67,680.89
0_XoNw4sSVE.jpg,0,0,[0],480,360,172800,1.33,137.19,82.83,152.7,50.39,89.38,1086.92
f6gk8z5yKU4.jpg,1,2,"[0.0638, 0.0911]",480,360,172800,1.33,44.77,47.25,53.39,78.92,38.93,377.67
JJwJ-r9BHQs.jpg,0,0,[0],1280,720,921600,1.78,41.67,48.48,65.93,87.85,39.06,55.08
69YFyXF5cZE.jpg,1,1,[0.1506],1280,720,921600,1.78,41.86,32.48,64.7,87.44,34.46,12.52
_ep8NqglbQQ.jpg,0,0,[0],1280,720,921600,1.78,100.41,60.16,172.15,121.14,72.33,135.01
jzm-vAlIxo4.jpg,0,0,[0],1280,720,921600,1.78,101.55,61.89,75.31,76.38,85.83,302.57
